artist,title,album,duration,seconds,release,popularity,cover,spotify
"deadmau5, Kaskade",I Remember,I Remember,9:53,593.6,2009-01-01,54,https://i.scdn.co/image/ab67616d0000b273ad55bea0de928a22db2caa93,https://open.spotify.com/track/2edcAWwKM7SQajsFGP0edC
Gas,Microscopic,Gas 0095,9:54,594.1,1995-01-01,26,https://i.scdn.co/image/ab67616d0000b2733d2c2dfb1afbc96c35976cef,https://open.spotify.com/track/3B067fW6z1fLwpO2CSaNtA
Rob Clouth,The Smallest Measurable Space,Hidden Structures,9:54,594.14,2015-09-18,4,https://i.scdn.co/image/ab67616d0000b2732eaadaa4318f5d305116133b,https://open.spotify.com/track/1RGgL3W7QbN6fh4LB9CCao
"Freedom Fighters, Mr. Bill, Sensient",Straya,Edge,9:54,594.63,2017-10-09,22,https://i.scdn.co/image/ab67616d0000b273f98433e9431a57d95b87143c,https://open.spotify.com/track/1N09aVaRHeA64JLyb9U9z3
Reid Willis,Sifting Through The Years,Sediment,9:55,595.5,2023-05-11,5,https://i.scdn.co/image/ab67616d0000b273e18fec18e0f88badf8990b26,https://open.spotify.com/track/1KtVxJvDvKMyIsOQV21Gks
deadmau5,The 16th Hour,For Lack Of A Better Name,9:55,595.59,2009-01-01,26,https://i.scdn.co/image/ab67616d0000b273d49d976721f4dc6b3c6225ad,https://open.spotify.com/track/6XmLwx2FpuY4k2u77Uai7C
A. G. Cook,Silver Thread Golden Needle,Britpop,9:56,596.77,2024-05-10,34,https://i.scdn.co/image/ab67616d0000b27344e729d1c94ac750ff3e96ca,https://open.spotify.com/track/2aeaJVKN7tytiBO5Hh5lBe
Jon Hopkins,Immunity,Immunity,9:56,596.77,2013-06-03,0,https://i.scdn.co/image/ab67616d0000b273235e762de339c6076aa824dd,https://open.spotify.com/track/1WOxGNutRwrbik8BA5f2AY
Daft Punk,Human After All / Together / One More Time / Music Sounds Better with You,Alive 2007,9:58,598.67,2007-11-19,50,https://i.scdn.co/image/ab67616d0000b273673288fb985e5c194536ae27,https://open.spotify.com/track/5q2KGgJV5l4MAnnGIrvKSK
Parannoul,White Ceiling,To See the Next Part of the Dream,10:00,600.0,2021-04-19,47,https://i.scdn.co/image/ab67616d0000b2731f478dacb513e939f5ac0586,https://open.spotify.com/track/0w5DKGccxr2uWY3pFbVeUS
Röyksopp,Alpha Male (Lost Tapes) [Live],Alpha Male (Lost Tapes) [Live],10:00,600.01,2020-08-07,23,https://i.scdn.co/image/ab67616d0000b27321d8464067958e7662759807,https://open.spotify.com/track/2wGwcj4sWNWiRaSBtlEGxx
"NTO, Worakls",Trauma - Worakls Remix,Hungry 5 (The Best of 5 Years),10:00,600.12,2018-11-09,57,https://i.scdn.co/image/ab67616d0000b273956b1c265311e7b01794ef0b,https://open.spotify.com/track/1uXUZfJykefWuwj9VtyxIq
Golden Vessel,getforward,getforward,10:00,600.25,2021-04-21,36,https://i.scdn.co/image/ab67616d0000b273138623c5674bb62d1960432c,https://open.spotify.com/track/1FT8VzkSDfH90Dc9XxjbEL
C418,Alpha,Minecraft - Volume Beta,10:03,603.0,2013-11-09,4,https://i.scdn.co/image/ab67616d0000b2734cf0b29eb06a92aa96acae64,https://open.spotify.com/track/0RZfz4zLlFb1lNtoEr7yDR
David Maxim Micic,Who Bit the Moon,Who Bit The Moon,10:06,606.56,2017-03-02,0,https://i.scdn.co/image/ab67616d0000b273200c40b07c4c65af45a43696,https://open.spotify.com/track/1v0ST6Rv78Hx8Aj4jhnLfh
David Maxim Micic,Who Bit the Moon,Who Bit the Moon,10:06,606.56,2017-03-02,0,https://i.scdn.co/image/ab67616d0000b2734220f4b6ee30a9f7652f3fcc,https://open.spotify.com/track/241GooWZ03E2fZ1G0hjMJw
"Max Cooper, Fort Romeau",Perpetual Motion - Fort Romeau's Love Eternal Mix,Yearning for the Infinite Remixed,10:13,613.18,2021-08-12,10,https://i.scdn.co/image/ab67616d0000b273dd64cb97e703874fc111c8d7,https://open.spotify.com/track/0fJoICbUeA1YTMgu8mA3Tm
No Mana,What's Your Wifi,5UP,10:14,614.5,2015-12-11,0,https://i.scdn.co/image/ab67616d0000b27359516ece5bbb71bc8707e759,https://open.spotify.com/track/4jfLrwc649vOd8e1259V7V
Aphex Twin,#19,#19,10:14,614.59,2024-06-18,55,https://i.scdn.co/image/ab67616d0000b273f1e4720ff2fc2405c92511c5,https://open.spotify.com/track/3zSBsvj6MWavRKfPE51395
Jamiroquai,Revolution 1993,Emergency on Planet Earth (Remastered),10:17,617.15,1993-06-14,52,https://i.scdn.co/image/ab67616d0000b273b6f13e40fbd883767da606bc,https://open.spotify.com/track/2oQLlmcEzbbbwvcHLLKkz1
Tigran Hamasyan,Out of the Grid,Mockroot,10:25,625.36,2015-01-23,26,https://i.scdn.co/image/ab67616d0000b273259a2f1f5ccc8e2bd97fbbec,https://open.spotify.com/track/1X0CGkkSBK6umJGL8PiZeE
Loco Dice,Raindrops On My Window,Harissa,10:28,628.2,2006-01-01,0,https://i.scdn.co/image/ab67616d0000b27343d2225773fe11148271381f,https://open.spotify.com/track/2qPP9zCNgcGfddLnTPFRcU
Aphex Twin,XMAS_EVET10 [120][thanaton3 mix],Syro,10:31,631.24,2014-09-22,44,https://i.scdn.co/image/ab67616d0000b2736ea96ba633bead24af562890,https://open.spotify.com/track/3QwQ9oyEWD1Ufx7WfiJ4bn
Aphex Twin,XMAS_EVET10 [120][thanaton3 mix],Syro,10:31,631.24,2014-09-19,0,https://i.scdn.co/image/ab67616d0000b2738b68d772e75d4f280cea0ef0,https://open.spotify.com/track/6CUxhtTkH0fSwfmsiOKPNV
Caterina Barbieri,Fantas,Ecstatic Computation,10:31,631.61,2019-05-03,0,https://i.scdn.co/image/ab67616d0000b273b6de88e33052318602e2ad97,https://open.spotify.com/track/0fjYD3Tx5XHuI4yfCjhUfU
deadmau5,Strobe,Strobe,10:34,634.15,2010-01-01,47,https://i.scdn.co/image/ab67616d0000b273ac4c76801e5286f371b5f4b1,https://open.spotify.com/track/4kJWtxDDNb9oAk3h7sX3N4
"The Irrepressibles, Röyksopp",In This Shirt - Royksopp Remix,In This Shirt,10:34,634.41,2016-12-29,60,https://i.scdn.co/image/ab67616d0000b273c40a86d8958055a11c4f8874,https://open.spotify.com/track/71Ci9E79HpYkqpnl9zSUOQ
deadmau5,Strobe,For Lack Of A Better Name,10:34,634.47,2009-01-01,44,https://i.scdn.co/image/ab67616d0000b273d49d976721f4dc6b3c6225ad,https://open.spotify.com/track/1sgyYCbGhkX3auLHCQ825G
Max Cooper,The Sun In A Box,On Being,10:45,645.0,2025-02-28,19,https://i.scdn.co/image/ab67616d0000b27373805db86a3b66b36d689635,https://open.spotify.com/track/7MlkDsu20cng48iJDHAIdu
Max Cooper,The Sun In A Box,The Sun In A Box,10:45,645.0,2024-09-04,13,https://i.scdn.co/image/ab67616d0000b273c8a51829e2eb9418343c8a02,https://open.spotify.com/track/3vBqcLQdyxpHqt8pCgCyz6
Nils Frahm,#2,Tripping with Nils Frahm,10:45,645.47,2020-12-03,29,https://i.scdn.co/image/ab67616d0000b27312bc0e7eb2838bf515407ff7,https://open.spotify.com/track/4clALeTwzxo59Qd9aBeVpU
Reid Willis,I am a Forest Fire,Reliquary,10:48,648.0,2025-07-11,7,https://i.scdn.co/image/ab67616d0000b2738cfaecca858b4bfb53711067,https://open.spotify.com/track/6eGrVKjNccjfH6hgZzNIO2
deadmau5,HR 8938 Cephei - Original Mix,HR 8938 Cephei (Original Mix),10:48,648.66,2011-01-01,33,https://i.scdn.co/image/ab67616d0000b2738ea77b5202ecd0f7fe6d9c5d,https://open.spotify.com/track/4ZkdFj5vG6uxkLMPOUUWKS
Epic Mountain,Moon Crash,Moon Crash,10:49,649.23,2022-02-08,20,https://i.scdn.co/image/ab67616d0000b273a97baa758298dea96cf1ecf4,https://open.spotify.com/track/1Z6pECI6oELT5uFxZxxFyN
Nathan Fake,Outhouse - Main Mix,Outhouse,10:53,653.53,2003-11-01,28,https://i.scdn.co/image/ab67616d0000b273e4f4be6dd22976fe28f5295c,https://open.spotify.com/track/4MAsspoTXq0qVrspy9D0zL
Nils Frahm,Sunson,Tripping with Nils Frahm,11:05,665.62,2020-12-03,31,https://i.scdn.co/image/ab67616d0000b27312bc0e7eb2838bf515407ff7,https://open.spotify.com/track/0Rw2CvZcW5UaPG2NyRC2hJ
"deadmau5, Grabbitz",Let Go - Extended Edit,W:/2016ALBUM/,11:31,691.37,2016-12-02,0,https://i.scdn.co/image/ab67616d0000b273a43f9418af7e912a42b40d27,https://open.spotify.com/track/6lk1X2t7OGIfe9rNCwTC0z
Epic Mountain,Loneliness,"Kurzgesagt, Vol. 5 (Original Motion Picture Soundtrack)",11:34,694.07,2018-12-26,34,https://i.scdn.co/image/ab67616d0000b2735dc62d661568dcaa3b18ce6a,https://open.spotify.com/track/7ETQN0uPcdGk4D43LtZI45
"deadmau5, Chris James",The Veldt - Original Mix,The Veldt EP,11:34,694.43,2012-01-01,23,https://i.scdn.co/image/ab67616d0000b2730bf9d5b6193062329e67fbed,https://open.spotify.com/track/14HVpSRZSmH2T9p6Wba7EH
Burial,Ashtray wasp,Street Halo / Kindred,11:45,705.19,2012-02-11,4,https://i.scdn.co/image/ab67616d0000b273db61d983bf0cb8aed9fc60e3,https://open.spotify.com/track/0vXSFoPqIVvS2NB7LgwGyT
"Rone, Les Siècles, François-Xavier Roth, Vanessa Wagner",Motion,Motion,11:47,707.57,2019-04-19,31,https://i.scdn.co/image/ab67616d0000b2731d806f53dbcded61df621dd4,https://open.spotify.com/track/1YqUm734e5Yv5BJEDhLYxK
"Rone, Les Siècles, François-Xavier Roth, Vanessa Wagner",Motion - Full Version,Motion,11:47,707.57,2019-05-15,20,https://i.scdn.co/image/ab67616d0000b273bf20b8557e56acad508254c3,https://open.spotify.com/track/1JRmiYrTWPMOGdPutuPFhp
Rival Consoles,Flow State,Overflow,11:53,713.84,2021-12-03,18,https://i.scdn.co/image/ab67616d0000b27397d0ed5e1d15e6b069b277bf,https://open.spotify.com/track/71pPOtqYpgK6jDePzumu3g
"Cult Of Luna, Julie Christmas, Perturbator",Cygnus (Remix),Cygnus (Remix),11:56,716.31,2018-06-15,24,https://i.scdn.co/image/ab67616d0000b27368487f98c96e80d0e62e13ea,https://open.spotify.com/track/1B0XWCdFJhyoXmcdPtyNFj
deadmau5,Re_Jaded,Jaded,12:00,720.0,2024-11-08,0,https://i.scdn.co/image/ab67616d0000b273b74cbf830fc9db9f748b18f8,https://open.spotify.com/track/5HDn8fl53QzZxejNpx1q9w
Burial,Comafields,Comafields / Imaginary Festival,12:03,723.15,2025-08-01,27,https://i.scdn.co/image/ab67616d0000b273efd5a31d68a049e8e128d169,https://open.spotify.com/track/1fZVOJkqVsjbh7TbRCcVlo
Burial,Comafields,Comafields / Imaginary Festival,12:03,723.15,2025-08-01,0,https://i.scdn.co/image/ab67616d0000b2737af5a46fe586a11fdb460c22,https://open.spotify.com/track/7C041UO4n5LmaPVcRaQfzc
Kendrick Lamar,Mortal Man,To Pimp A Butterfly,12:07,727.11,2015-03-16,58,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,https://open.spotify.com/track/1WT11QmhZutciEv1NsHt1R
Johannes Heil,From Within,From Within,12:19,739.52,2011-10-24,0,https://i.scdn.co/image/ab67616d0000b27311679f72a04b09971d79393a,https://open.spotify.com/track/2HkaC3MF4PgmNDTfIAF3cG
"Black Country, New Road",Basketball Shoes,Ants From Up There,12:37,757.44,2022-02-04,57,https://i.scdn.co/image/ab67616d0000b2730f4b994c518581bf62157c38,https://open.spotify.com/track/4ShVovnLIlObG43vwaCRkJ
clammbon,Long Song,Musical,12:50,770.45,2007-05-23,0,https://i.scdn.co/image/ab67616d0000b2734b54e0060461701d770f5d6b,https://open.spotify.com/track/4hkTw8RTuYnPuR2APo1Sd2
Ichiko Aoba,"Kikai Jikake no Uchu - ""gift"" live ver.","""gift"" at Sogetsu Hall (Live)",13:12,792.82,2020-04-03,0,https://i.scdn.co/image/ab67616d0000b273ea44e61de113027d8907a2b0,https://open.spotify.com/track/0Z4QmBnZTz3GXvycbFpytB
Ichiko Aoba,"Kikai Jikake no Uchu - ""gift"" live ver.","""gift"" at Sogetsu Hall (Live)",13:12,792.83,2020-04-03,24,https://i.scdn.co/image/ab67616d0000b273923e24c29f329baa2441bca8,https://open.spotify.com/track/48dnd4Y91letOoFd9Y0qTd
C418,Thunderbird,Excursions,13:27,807.5,2018-09-12,0,https://i.scdn.co/image/ab67616d0000b27326df17c3b7ec69320cffd276,https://open.spotify.com/track/73cL4GBPJv6LOdcrlPsoP5
Christian Löffler,Funebre,Parallels: Shellac Reworks By Christian Löffler,13:40,820.59,2021-02-12,25,https://i.scdn.co/image/ab67616d0000b2732ae3934450a9b0c4d9e5c3d3,https://open.spotify.com/track/0B2Bxv7NQkIZdqzrJewBNJ
Nils Frahm,Fundamental Values,Tripping with Nils Frahm,14:18,858.07,2020-12-03,31,https://i.scdn.co/image/ab67616d0000b27312bc0e7eb2838bf515407ff7,https://open.spotify.com/track/303wBZ12RXtPoSu9NBHLyT
Nils Frahm,All Melody,Tripping with Nils Frahm,14:18,858.4,2020-12-03,32,https://i.scdn.co/image/ab67616d0000b27312bc0e7eb2838bf515407ff7,https://open.spotify.com/track/3VL08woYdGK0MhyiO8ql8F
C418,The End,Minecraft - Volume Beta,15:04,904.53,2013-11-09,1,https://i.scdn.co/image/ab67616d0000b2734cf0b29eb06a92aa96acae64,https://open.spotify.com/track/3CaUrp1M3f4mDNI2IBbodz
Pachanga Boys,Time,Girlcatcher,15:13,913.21,2012-01-19,53,https://i.scdn.co/image/ab67616d0000b2734200ad0c96a4cbd49bc88415,https://open.spotify.com/track/6J3aUG1y0zSJXOnsLhx41h
Josh Cohen,Paranoid Android,Radiohead for Solo Piano,15:45,945.45,2019-12-06,21,https://i.scdn.co/image/ab67616d0000b273d7f5c3dca54cac977c173caa,https://open.spotify.com/track/7gnzY13rVKhdUJXFPXhOBC
Josh Cohen,It's in F Take 2,Life Drafts,15:51,951.9,2020-04-06,4,https://i.scdn.co/image/ab67616d0000b273f60868aeecf6eb115f3a548d,https://open.spotify.com/track/4JHeHrTFzWtkiik7bP4nV0
OKADA,The Right to Destroy Myself,Life Is but an Empty Dream,16:22,982.4,2019-05-24,24,https://i.scdn.co/image/ab67616d0000b2731c4523859afc61f29318fad6,https://open.spotify.com/track/0n3vfrEOEbmwJHSvJV4ij1
Digitalism,BLOCK02__HOT MOON MIAMI - Live,Idealism Live 2024 - London + Berlin,16:39,999.19,2024-11-08,9,https://i.scdn.co/image/ab67616d0000b273272c605788df7895de0d34e2,https://open.spotify.com/track/167vpYBEiB0htNTvQYp5oG
"Aoki Takamasa, Ichiro Yamaguchi",Reflects,Reflects,18:43,1124.0,2016-01-20,18,https://i.scdn.co/image/ab67616d0000b2739deb7d00b8821cbb793d5cb5,https://open.spotify.com/track/4WmEIvOQ6CMkqT0WTlYzDM
"Steve Reich, Gregor Schwellenbach, Hauschka, Erol Sarp, Daniel Brandt, Paul Frick, John Kameel Farah",Steve Reich: Six Pianos,Steve Reich: Six Pianos & Terry Riley: Keyboard Study #1,22:14,1334.08,2016-11-18,18,https://i.scdn.co/image/ab67616d0000b273a9073b7592dee1f67503c197,https://open.spotify.com/track/6DgU2wBWXvJvL9DcQjBYGY
